"Reporting starts","Reporting ends","Ad Set Name",Age,Gender,Impressions,Reach,"Clicks (all)",ThruPlays,"Post engagements"
2025-06-14,2025-06-14,"Video views Ad: L’extraordinaire devient possible au Centre...",18-24,female,529,456,13,26,144
2025-06-13,2025-06-13,"Video views Ad: L’extraordinaire devient possible au Centre...",65+,unknown,13,13,1,1,10
2025-06-13,2025-06-13,"Video views Ad: L’extraordinaire devient possible au Centre...",65+,male,1397,1180,62,169,974
2025-06-13,2025-06-13,"Video views Ad: L’extraordinaire devient possible au Centre...",65+,female,1690,1548,126,302,1214
2025-06-13,2025-06-13,"Video views Ad: L’extraordinaire devient possible au Centre...",55-64,unknown,8,8,0,1,6
2025-06-13,2025-06-13,"Video views Ad: L’extraordinaire devient possible au Centre...",55-64,male,1483,1483,62,138,908
2025-06-13,2025-06-13,"Video views Ad: L’extraordinaire devient possible au Centre...",55-64,female,2236,2108,138,280,1451
2025-06-13,2025-06-13,"Video views Ad: L’extraordinaire devient possible au Centre...",45-54,unknown,8,8,2,1,4
2025-06-13,2025-06-13,"Video views Ad: L’extraordinaire devient possible au Centre...",45-54,male,1158,1100,47,75,579
2025-06-13,2025-06-13,"Video views Ad: L’extraordinaire devient possible au Centre...",45-54,female,1429,1429,89,111,787
2025-06-13,2025-06-13,"Video views Ad: L’extraordinaire devient possible au Centre...",35-44,unknown,3,3,0,,2
2025-06-13,2025-06-13,"Video views Ad: L’extraordinaire devient possible au Centre...",35-44,male,1435,1384,52,85,548
2025-06-13,2025-06-13,"Video views Ad: L’extraordinaire devient possible au Centre...",35-44,female,1625,1544,79,108,688
2025-06-13,2025-06-13,"Video views Ad: L’extraordinaire devient possible au Centre...",25-34,unknown,14,12,0,1,6
2025-06-13,2025-06-13,"Video views Ad: L’extraordinaire devient possible au Centre...",25-34,male,1068,1068,36,44,350
2025-06-13,2025-06-13,"Video views Ad: L’extraordinaire devient possible au Centre...",25-34,female,1189,1188,55,85,459
2025-06-13,2025-06-13,"Video views Ad: L’extraordinaire devient possible au Centre...",18-24,unknown,3,3,0,,4
2025-06-13,2025-06-13,"Video views Ad: L’extraordinaire devient possible au Centre...",18-24,male,159,128,6,9,53
2025-06-13,2025-06-13,"Video views Ad: L’extraordinaire devient possible au Centre...",18-24,female,179,179,1,9,55
